,County,State,similarity_index,
1,"Philadelphia, PA",PENNSYLVANIA,1,Philadelphia
2,"Milwaukee, WI",WISCONSIN,0.957427207,Milwaukee
3,"Wayne, MI",MICHIGAN,0.957171316,Detroit
4,"Marion, IN",INDIANA,0.956254941,Indianapolis
5,"Shelby, TN",TENNESSEE,0.95222142,Memphis
6,"Pulaski, AR",ARKANSAS,0.950862776,Little Rock City
7,"Davidson, TN",TENNESSEE,0.948547411,Nashville
8,"Richland, SC",SOUTHCAROLINA,0.945653789,
9,"Jackson, MO",MISSOURI,0.944347412,Kansas City 
10,"Suffolk, MA",MASSACHUSETTS,0.943482678,Boston
11,"Madison, TN",TENNESSEE,0.943103129,Jackson City
12,"Muskogee, OK",OKLAHOMA,0.942085155,
13,"Jefferson, AL",ALABAMA,0.939951781,
14,"SanJoaquin, CA",CALIFORNIA,0.938359575,
15,"Bernalillo, NM",NEWMEXICO,0.938113119,
16,"OrleansParish, LA",LOUISIANA,0.936547627,
17,"Essex, NJ",NEWJERSEY,0.933551493,
18,"Bronx, NY",NEWYORK,0.933334636,
19,"Greenwood, SC",SOUTHCAROLINA,0.932917313,
20,"Fulton, GA",GEORGIA,0.932068523,
21,"Dougherty, GA",GEORGIA,0.931832886,
22,"Kings, NY",NEWYORK,0.930278027,
23,"Miami-Dade, FL",FLORIDA,0.930205536,
24,"Lubbock, TX",TEXAS,0.930072802,
25,"Cibola, NM",NEWMEXICO,0.929968268,
26,"Sumter, GA",GEORGIA,0.929912234,
27,"Lucas, OH",OHIO,0.929745543,
28,"Jefferson, TX",TEXAS,0.929633926,
29,"Comanche, OK",OKLAHOMA,0.929223532,
30,"Escambia, FL",FLORIDA,0.92902993,
31,"St.Clair, IL",ILLINOIS,0.928566195,
32,"SanJuan, NM",NEWMEXICO,0.928104315,
33,"Jefferson, AR",ARKANSAS,0.927710944,
34,"Marion, SC",SOUTHCAROLINA,0.927505483,
35,"Orange, FL",FLORIDA,0.927469002,
36,"Tulsa, OK",OKLAHOMA,0.927173052,
37,"DeKalb, GA",GEORGIA,0.926129823,
38,"Socorro, NM",NEWMEXICO,0.925973866,
39,"Durham, NC",NORTHCAROLINA,0.925469724,
40,"Genesee, MI",MICHIGAN,0.925430705,
41,"Duval, FL",FLORIDA,0.925075812,
42,"Saginaw, MI",MICHIGAN,0.923658584,
43,"Leon, FL",FLORIDA,0.923578863,
44,"Phillips, AR",ARKANSAS,0.923468023,
45,"Colleton, SC",SOUTHCAROLINA,0.923449647,
46,"Fresno, CA",CALIFORNIA,0.923389962,
47,"Kern, CA",CALIFORNIA,0.923245575,
48,"Darlington, SC",SOUTHCAROLINA,0.923139371,
49,"Dillon, SC",SOUTHCAROLINA,0.923048566,
50,"Pemiscot, MO",MISSOURI,0.922776316,
51,"Sumter, SC",SOUTHCAROLINA,0.922447724,
52,"Alachua, FL",FLORIDA,0.92240859,
53,"Madison, FL",FLORIDA,0.922293669,
54,"Merced, CA",CALIFORNIA,0.922240797,
55,"Potter, TX",TEXAS,0.921974959,
56,"Queens, NY",NEWYORK,0.921784291,
57,"Hinds, MS",MISSISSIPPI,0.921623174,
58,"Madera, CA",CALIFORNIA,0.921479999,
59,"Forsyth, NC",NORTHCAROLINA,0.921346869,
